127.0.0.1 - - [30/Oct/2018:23:05:03 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/ HTTP/1.1" 200 9314
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/css/bootstrap.css HTTP/1.1" 200 150040
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/css/animate.css HTTP/1.1" 200 24196
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/css/owl.carousel.min.css HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/fonts/fontawesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/fonts/ionicons/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/css/magnific-popup.css HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/css/style.css HTTP/1.1" 200 29341
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/js/jquery-3.2.1.min.js HTTP/1.1" 200 86658
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/js/jquery-migrate-3.0.0.js HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/js/popper.min.js HTTP/1.1" 200 19235
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/js/bootstrap.min.js HTTP/1.1" 200 50564
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/js/owl.carousel.min.js HTTP/1.1" 200 43237
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/js/jquery.waypoints.min.js HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:12 -0300] "GET /kitnetsrecife/js/jquery.stellar.min.js HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:13 -0300] "GET /kitnetsrecife/js/magnific-popup-options.js HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:13 -0300] "GET /kitnetsrecife/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20932
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:13 -0300] "GET /kitnetsrecife/js/main.js HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:13 -0300] "GET /kitnetsrecife/images/f_img_1.png HTTP/1.1" 200 201627
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:14 -0300] "GET /kitnetsrecife/images/big_image_1.jpg HTTP/1.1" 200 344572
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:05:15 -0300] "GET /kitnetsrecife/fonts/fontawesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:06 -0300] "GET /kitnetsrecife/ HTTP/1.1" 200 9314
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:06 -0300] "GET /kitnetsrecife/css/bootstrap.css HTTP/1.1" 200 150040
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:06 -0300] "GET /kitnetsrecife/css/animate.css HTTP/1.1" 200 24196
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:06 -0300] "GET /kitnetsrecife/css/owl.carousel.min.css HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:06 -0300] "GET /kitnetsrecife/fonts/ionicons/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:06 -0300] "GET /kitnetsrecife/css/magnific-popup.css HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:06 -0300] "GET /kitnetsrecife/fonts/fontawesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:07 -0300] "GET /kitnetsrecife/css/style.css HTTP/1.1" 200 29341
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:08 -0300] "GET /kitnetsrecife/js/jquery-3.2.1.min.js HTTP/1.1" 200 86658
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:08 -0300] "GET /kitnetsrecife/js/jquery-migrate-3.0.0.js HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:08 -0300] "GET /kitnetsrecife/images/big_image_1.jpg HTTP/1.1" 200 344572
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:08 -0300] "GET /kitnetsrecife/images/f_img_1.png HTTP/1.1" 200 201627
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:08 -0300] "GET /kitnetsrecife/js/popper.min.js HTTP/1.1" 200 19235
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:08 -0300] "GET /kitnetsrecife/js/bootstrap.min.js HTTP/1.1" 200 50564
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:08 -0300] "GET /kitnetsrecife/js/jquery.waypoints.min.js HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:08 -0300] "GET /kitnetsrecife/js/owl.carousel.min.js HTTP/1.1" 200 43237
